英,汉
exchange,"n.交换；交流；交易所；兑换
v.交换；交流；交易；兑换"
never,"adv.从未；从不；绝不；未曾
int.（表示惊讶，因为觉得不可能）不会吧"
disposable,"adj.用后即丢弃的；一次性的；可动用的；可自由支配的
n.〈美口〉使用后随即抛掉的东西(尤指容器等)"
giant,"n.巨人；伟人；巨兽；（故事中常为残酷而愚蠢的）巨人
adj.巨大的；特大的；伟大的"
here,"n.这里；这一点
adv.现在；向这里；在这一点上；给某人东西或指出某物时说
int.嘿；主动提议时说"
raspberries,"n.【食,植】覆盆子；〈非正式〉(表示轻蔑,嘲笑等的)咂舌声"
beacon,"n.灯塔；（导航）无线电信标台；（旧时）烽火
v.像灯塔般照耀；照亮；鼓励；为…装设指向标"
let,"v.让；允许；由；准许
n.出租；（发球时的）擦网球；租借"
alone,"adj.独自；孤独；单独；只有
adv.独自；只有；仅仅；孤独地"
suckers,"n.【动】吸盘；【植】徒长枝；(寄生植物的)吸器
v.摘去(植物等)的徒长枝[腋芽]；【植】生出徒长枝[腋芽]"
change,"n.变化；改变；变革；变更
v.变化；改变；变更；转换"
wait,"v.等；等待；等候；期待
n.等待；等候；等待的时间"
box,"n.箱；盒；方框；匣
v.（拳击运动中）击打（某人）；把（某物）装箱（或盒、匣）"
sending,"n.发送；信件；【信】发射；神赐
v.“send”的现在分词"
great,"n.伟人；名人；伟大的事物
adj.伟大的；擅长；巨大的；数量大的
adv.很好地；极好地；很棒地"
kids,"n.小孩；年轻人；小山羊；小山羊皮革
v.开玩笑；哄骗；戏弄；欺骗
adj.妹妹；弟弟"
daughter,"n.女儿；（某地、某国等的）妇女
adj.女儿(般)的；【生】第一代的"
k,"abbr.一千；千米；公里；千字节
n.英语字母表的第 11 个字母；（化学元素）钾"
whoo,web.后；拱辰享；喔
leaving,"n.休假；假期；许可；准许；休假；假期；同意；【台】(前一人击球后)遗留下来的球的位置
v.脱离；退出；辞去；遗弃；遗留；委托；遗弃；丢弃"
tv,abbr.(=television)
chemical,"n.化学品；化学制品
adj.与化学有关的；化学的；用化学方法制造的；化学作用的"
pick,"v.选择；挑选；摘；采
n.选择；挑选；精华；选中的人（或物）"
murdering,"v.谋杀；杀害；糟蹋；凶杀
n.杀害；屠杀；【法】谋杀；谋杀案[罪]"
system,n.系统；体系；制度；体制
love,"n.爱；爱情；热爱；恋爱
v.爱；喜欢；热爱；喜爱"
family,"n.家族；亲属；子女；家庭（包括父母子女）
adj.家庭的；一家所有的；适合全家人的"
danger,n.危险；危害；风险；威胁
suddenly,adv.突然；忽然；猛然；骤然
traumatized,"adj.精神上受到打击的；受了心灵创伤的
v.traumatize的过去式和过去分词形式"
brought,v.bring(带来）的过去式和过去分词
throat,"n.嗓子；脖子
v.用沙哑的声音说；用喉音说"
guests,"n.客人；顾客；格斯特；客串演员
v.做客；款待；〈美俚〉在无线电节目中客串演出"
trained,v.“train”的过去分词和过去式
gimmick,"n.噱头
v.〈口〉在…(轮盘赌,魔术道具等)上暗设机关"
should,"modalv.应当；可以；万一；可能
auxv.必须；会；倒；“shall”的过去式"
hoping,"v.希望；期望；相信
n.希望；愿望；霍普；寄予希望的人[物]"
yourself,pron.你；你自己；您；您自己
use,"v.使用；利用；运用；消耗
n.使用；用途；用法；使用权"
wanted,"adj.受通缉的
v.“want”的过去式和过去分词"
from,prep.从；来自；由；表示时间
takes,"v.拿；需要；接受；吃
n.镜头；收入额；进项；看法"
would,"auxv.会；愿意；大概；常
modalv.就；将会；老是；带出想象的结果"
give,"v.给；交给；赠送；赠与
n.伸展性；弹性"
two,"num.二
n.一对；两人；两点钟；两岁"
intense,adj.很大的；十分强烈的；严肃紧张的；激烈的
few,"adj.几个；很少
adv.几个；很少
n.几个；几乎没有；(对“多数”说的)少数
pron.一些；很少人（或事物、地方）；有些（人、事物、地方）；不和…一般多"
doubt,"v.怀疑；不相信；不能肯定；无把握
n.疑问；疑惑；不相信；不确定"
call,"n.打电话；呼唤；呼吁；要求
v.呼唤；称呼；召唤；打电话叫"
calm,"adj.泰然自若的；(海洋,天气等)安静的；若无其事的；静寂的
n.平静；恬静；不动声色；风平浪静
v.(使)平静下来；安抚"
vehicle,n.车辆；工具；交通工具
survive,v.生存；存活；幸存；继续存在
wiper,n.手绢儿；搌布；揩布；(汽车风挡上的)雨刷器
tell,"v.告诉；说；讲述；知道
n.【考古】(层层覆盖古代遗址的)人工丘阜；传闻"
today,"n.今天；今日；现在；当今
adv.现在；当今；在今天；在今日"
more,"adv.更多；更大的
adj.“many”的比较级；此外；更大的；〈废〉(地位,身分等)更高的
n.莫尔；更多的数量[程度]；附加"
sort,"n.排序；分类；种类；类别
v.整理；把…分类；妥善处理；安排妥当"
door,n.门；门口；门边；门旁
rich,"n.富人；有钱人
adj.富有的；富裕的；富庶的；富饶的"
holy,"adj.与神（或宗教）有关的；神圣的；圣洁的；强调惊讶、害怕等
n.神圣的东西"
relax,v.放松；休息；松懈；放心
started,"v.开始；〈美〉出发；创办；着手
n.开始；出发；出发点；起飞
abbr.(=Strategic Arms Reduction Talks)战略武器削减谈判"
share,"v.共享；分享；分担；分摊
n.股份；（在若干人之间分得的）一份"
company,n.公司；陪伴；商行；做伴
ooh,int.啊哈
it,"pron.恰好；（指提到过的或正在谈论的动物或事物）它；尤指性别不详者
n.笨蛋；理想的东西；登峰造极；〈口〉性的魅力"
phone,"n.电话；电话机；音素；电话听筒
v.打电话"
teaser,n.难题；棘手的问题；前导广告
stick,"v.粘贴；刺；忍受；戳
n.条；枯枝；枝条；柴火棍儿"
ashamed,adj.羞愧；惭愧；尴尬；因惭愧而不情愿
baby,"n.婴儿；动物幼崽；（家庭或团体中）最年幼的成员；幼稚的人
v.婴儿般对待；百般呵护
adj.（蔬菜）小型的"
hole,"n.孔；洞；坑；漏洞
v.（尤指在船上）打洞；击球入洞"
hold,"n.抓；握；拿；支撑
v.拿着；抓住；抱住；托住"
me,"pron.我
n.大调音阶的第 3 音"
balls,"n.胡说；废话；勇气；睾丸
int.粗俗话
v.“ball”的第三人称单数"
locked,"v.锁；锁住；卡住；(使资本等)固定
n.锁；锁住；(运河等的)船闸；(干草,羊毛等的)小量"
this,"pron.这；这里；这时；(前述二物中的)后者
adj.这；即将来到的；今…
adv.这个；本；这样；这么"
car,n.车；汽车；轿车；车厢
getting,"v.获得；取得；被；收到
n.赢利；薪资；【牧】幼畜；(煤炭)产量"
roof,"n.屋顶；车顶；顶部；有…顶的
v.给…盖顶；盖上屋顶"
purge,"v.清除；净化（心灵、风气等）；涤荡（污秽）
n.清除"
hardest,"adv.努力地；艰难地；费力地；猛烈地
adj.坚固的；坚硬的；结实的；难做的
n.〈英〉硬海滩；〈英俚〉(囚犯的)强迫苦役"
itself,pron.指施动并受其影响的动物或事物；用以强调某动物、某事物等
can,"auxv.会得；(偶然,有时)会；能；行
n.（盛食品或饮料的）金属罐；一罐（的量）；塑料容器；喷雾罐
modalv.会；（表示知道如何做）懂得
v.把（食品）装罐保存；解雇；让…卷铺盖走人；炒…的鱿鱼"
gunshots,"na.射击；(自炮内射出的)炮弹；(枪,炮的)射程"
growing,"n.成长
adj.增加的；增长的；增强的
v.“grow”的现在分词"
making,"n.生产；制造
v.“make”的现在分词"
crackers,"adj.发狂；疯狂
n.“cracker”的复数"
gunfire,n.炮火声
numbers,"n.“number”的复数；【圣】民数记；【女名】女子名
v.“number”的第三人称单数"
point,"n.点；观点；要点；重点
v.指向；指点；瞄准；指引"
murmuring,"v.咕哝；诉怨 (at； against)；小声说；沙沙地响
n.咕哝；(浪,树叶等的)沙沙声；私语声；【医】(不正常的)心脏杂音"
morty,web.莫蒂；莫迪；莫堤
do,"v.做；进行；完成；做出
auxv.用于实义动词前构成否定句和疑问句；构成附加疑问句
n.社交聚会；社交活动"
lock,"n.锁；船闸；车锁；头发
v.加锁；卡住；（用锁）锁上；被锁住"
awesome,adj.令人惊叹的；使人惊惧的；很困难的；难得吓人的
laughs,"n.笑；嘲笑；令人发笑的事
v.大笑；发笑；(自然物等)呈现令人欢快的形态；以笑表示"
accept,v.承认；接纳；同意；认可
high,"adj.高的；有某高度的；（离地面）很高的；海拔很高的
adv.在高处；向高处；（成本、价值）高；（数量）大
n.最高水平；最大数量；高气压区；反气旋"
heard,v.hear（听见）的过去式和过去分词形式
something,"pron.某物；某事；想来重要（或值得注意）的事物
adv.非常
n.〈婉辞〉同“damn. What the something are you doing here”"
want,"v.要；希望；想要；需要
n.缺乏；缺少；匮乏；贫困"
story,"n.小说；谎言；（虚构的）故事；（真实情况的）叙述
v.把…作为故事讲述；用故事画装饰；说假话；〈古〉讲…的故事[历史]"
simple,"adj.笨；易于理解的；易做的；简单的
n.单体；头脑简单的人；药草制剂；〈古〉药用植物"
sir,"n.老师；阁下；（对不认识的男性的称呼或对男性的尊称）先生
v.称…为先生"
needs,"adv.必须；必定
n.“need”的复数
v.“need”的第三人称单数"
end,"n.结束；结尾；尽头；末端
v.结束；终止"
sit,v.坐；蹲；开庭；担任
get,"v.得到；获得；使；收到
n.赢利；薪资；【牧】幼畜；(煤炭)产量
linkv.（使）达到"
cleansing,"n.净化；垃圾；(牛羊等的)胞衣
adj.清洁用的
v.“cleanse”的现在分词"
machine,"n.机器；机械装置；（不提全称时的简略说法）机器；（组织的）核心机构
v.（用机器）制造"
how,"adv.如何；怎样；多么；询问健康状况
n.方法"
hot,"adv.热；趁热；热烈地；愤怒地
adj.温度高的；热的；觉得闷（或燥、湿）热；使人感到热的
v.〈英〉变热；变得激动；骚动起来；使骚动"
mollycoddle,"n.女人气的[柔弱的,没骨气的]男子；懦夫；娇生惯养的人
v.溺爱；宠爱"
animal,"n.兽；牲畜；动物（不包括鸟、鱼、爬行动物、昆虫和人）
adj.肉体的；肉欲的；情欲的"
answer,"n.回答；答案；答复；（试题、练习等的）答案
v.回答；答复；符合；适合"
comedy,n.喜剧；喜剧片；滑稽；幽默
charging,"n.充电；充气；费用；管理
v.收费；填；装(子弹)；充(电)"
sweat,"n.汗；出汗；流汗；一身汗
v.出汗；流汗；不安；（物体表面）渗出水分"
rapists,n.强奸犯
okay,adj.同“O.K.”
tried,"adj.试验过的；经过考验的；确实的
v.“try”的过去式和过去分词"
haven,"n.避难所；安全的地方；保护区
v.把(船)开进港；掩护"
huge,adj.巨大的；极多的；程度高的；非常成功的
watch,"v.看；观看；观察；小心
n.手表；监视；注意；观察"
insecure,adj.缺乏信心的；无把握的；不安全的；无保障的
after,"adv.以后；后来
prep.仅次于；追赶；跟随；虽然
adj.后来的；以后的
conj.在…以后
n.〈英俚〉正餐的最后一道食品(如点心,水果等)"
masks,"n.面罩；假面具；防毒面具；【物】掩模
v.蒙蔽；【军】掩蔽；掩护；(因逼近敌方)妨碍(友军)炮火射程"
ow,int.（表示疼痛）哎呦
coming,"n.来临
adj.即将发生的；下一个的
v.“come”的现在分词"
evened,"adj.一样的；均匀的；同一的；高低相同的
v.使平均；使相等；把…弄平坦；变平坦
adv.也；恰恰；就是；愈加
n.〈诗〉傍晚"
such,"adj.这样；这种；〈口〉非常；某某
pron.这；这样的人[物]；…的人们[东西]
adv.非常；（指上文）这样的；下述一类的"
suck,"v.吮吸；咂；啜；含在嘴里吸食
n.吸；吮；啜；咂"
guys,"n.人；盖伊；逃亡；【航】支索
v.逃走；用支索撑住；嘲笑；〈英〉把(某人)制成模拟像嘲弄"
grow,"v.成长；长大；增加；扩大
linkv.逐渐变得；逐渐成为"
man,"n.成年男子；男人；人类；（特定历史时期的）人
v.在…岗位上工作；操纵（机器等）；配备（人员）
int.（表示惊奇、气愤等）嘿"
a,"na.一
n.英文字母表的第一字母；【乐】A音
art.冠以不定冠词主要表示类别"
refuse,"n.垃圾；废弃物
v.拒绝；回绝；推却；不准许
adj.无价值的"
drop,"n.滴；水珠；少量；微量
v.使落下；（故意）降下；累倒；累垮"
remember,v.记得；记住；想起；记起
grandson,n.孙子；外孙
maybe,adv.也许；或许；可能；（不置可否）也许
bugs,"n.缺陷；虫子；窃听器；小昆虫
v.在（某处）装窃听器；窃听（谈话）；使烦恼；使恼怒"
purging,"n.净化；【政】肃整；药泻
v.清洗；使(身,心)清净 (of； from)；使(人)通便"
tale,n.（尤指充满惊险的）故事；历险记；（精彩但不一定完全真实的）讲述
mark,"n.记号；成绩；目标；符号
v.纪念；评分；注意；标示"
chief,"n.首领；酋长；族长；头目
adj.最重要的；首要的；主要的；最高级别的"
beeping,"n.(汽车喇叭等的)嘟嘟声；(人造卫星等的)信号音；吉普车
v.使(汽车喇叭等)嘟嘟响；用嘟嘟声发出(警告等)；按喇叭"
so,"conj.所以；以便；（引出结果）因此；引出下文
adv.那么；如此；很；就
int.好；别动；别吵；停住
pron.左右；imagine
n.【乐】同“sol”；【女名】女子名"
agenda,n.议事日程
putting,"n.投掷；【高】打球入洞
v.“put”的现在分词；“putt”的现在分词"
playing,"v.玩；扮演；发挥；弹奏
n.（演奏等的）表现；（乐曲）演奏"
talk,"v.说话；谈话；讨论；讲话
n.谈话；讨论；交谈；演讲"
cute,"adj.(小孩或小动物)可爱的；逗人的；讨人喜欢的；〈非正式,口〉漂亮的"
help,"n.帮助；协助；救助；有用
v.帮助；协助；促进；援助"
developed,"v.开发
adj.发达的；先进的"
over,"adv.结束；以上；多于；大于
prep.通过；关于；遍及；翻越
v.走过
adj.完了的；剩余的；在上的
n.一轮投球（同一个投球手连续投出的六个球）"
move,"n.行动；移动；搬家；活动
v.移动；搬家；搬迁；前进"
years,n.年；多年；几年；年龄
course,"adv.〈口〉当然
n.过程；航向；球场；【教】课程
v.(某种液体)流下；(某种感觉)突然变得很强烈；(带着猎犬)打猎"
wiener,n.小鸡鸡（指阴茎，尤用于儿语）
paper,"n.纸；纸张；论文；文件
v.贴壁纸"
through,"adv.通过；直达；彻底；自始至终
prep.穿过；以；由于；贯穿
adj.结束；全程的；直通的；（道路或路线）直通的"
looks,"v.看；显得；注视；面向
n.样子；容貌；脸色；一瞥"
hell,"n.地狱；见鬼；苦难的经历；悲惨的境况
v.放荡地欢闹；(车辆)急驰
short.he will"
windshield,n.风挡；（摩托车等前面的）挡风玻璃
galaxy,n.星系；银河；银河系；群英
before,"adv.以前；过去；已经
conj.以免；不然；在…以前；到…为止
prep.在…以前；在…面前（或前面）；（次序或排列）在前面；表示面临或临近"
perfect,"adj.完备的；完美的；完全的；完全正确的
v.使完善；使完美；使完备
n.（动词的）完成时（态）"
write,v.编写；写信；写作；书写
style,"n.样式；风格；方式；作风
v.称呼；把…设计（或缝制、做）成某种式样；命名"
thank,"v.谢谢；（为某事）道谢
n.感谢"
somewhere,adv.在某处；到某处
arthrisha,
ll,"n.低标准；淋巴细胞性白血病；低标高
abbr.（书写形式）行（l 的复数形式）"
amazing,"adj.令人大为惊奇的；（尤指）令人惊喜（或惊羡、惊叹）的
v.“amaze”的现在分词"
writing,"n.写作；书写；作品；文章
v.“write”的现在分词"
better,"adv.更好；更愉快；不那么差；较大程度地
adj.痊愈；较好的；更好的；能力更强的
v.胜过；超过；上进
n.更好的事物；较好者；更有才智者；更重要的人"
muchacho,n.男孩
condition,"n.条件；状态；疾病
v.决定；护理(头发,皮肤)"
fade,"v.逐渐消失；衰落；（使）变淡；逐渐消逝
adj.乏味的；憔悴的"
policy,n.政策；方针；保险单；原则
mail,"n.邮件；电子邮件；信件；邮政
v.邮寄；用电子邮件传送；发电邮给"
weeks,n.“week”的复数；威克斯
might,"auxv.可能；可以；也许；该
modalv.可以；（表示可能性）可能；（用于有礼貌地提出建议）可以
n.威力；强大力量"
happened,v.发生；〈口〉出现；偶然…
dad,"n.爸爸；爹爹
int.〈美口〉神"
then,"adv.然后；那么；那时；接着
n.那时
adj.当时（任职等）的"
them,"pron.他们；它们；她们；指性别不详的人时
adj.非标准用法"
good,"adv.好
n.好处；好人；益处；善行
adj.有好处；好的；优质的；符合标准的"
somebody,"pron.某人
n.大人物"
lunatic,"n.疯子；狂人；傻瓜；〈旧〉精神病人
adj.疯狂的；极端的；狂热的；〈旧〉精神病的"
food,n.食物；（某种）食物
unemployed,"adj.失业的；待业的；下岗的
n.〈集合词〉失业者"
sarcastic,adj.讽刺的；嘲讽的；挖苦的
scene,n.现场；景象；情景；景色
bang,"n.猛敲；突然的巨响；额前短发；刘海儿
v.猛敲；砸；（把…）砰地关上；猛摔
adv.正好；完全地
int.（表示枪声等巨响）砰"
hurting,"v.受伤；感到疼痛；使不快；使烦恼
n.委屈；心灵创伤
adj.（身体上）受伤的；（感情上）受伤的"
they,pron.他们；它们；她们；众人
not,adv.不；不是；没有；〈口〉不要
now,"adv.现在；目前；此刻；从现在开始
n.现在
conj.既然；由于
adj.现在的；现任的；属于新一代的
abbr.(=National Organization for Women)全国妇女组织"
day,n.白天；一日；白昼；时代
bigger,"adv.大大；给人印象深地
n.大亨；大公司
adj.巨大的；年龄较大的；重大的；严重的"
sucked,"v.吮吸；吸进；吸收(水分,知识等)
n.吮吸；吃奶；卷入；一杯"
didn,web.杂英满方甸；白衣殿
l,abbr.（书写形式）升；（书写形式，指书页上的）行
goodness,n.善良；美德；优良；（尤指有益健康的）精华
chuckles,"n.吃吃的笑；(母鸡的)咯咯声
v.嗤的一笑；(母鸡)咯咯地叫"
harness,"n.马具；挽具；（用于人，起固定或保护作用的）背带
v.控制；给（马等）上挽具；用挽具把…套到…上"
holdin,na.抑制；忍住
rock,"n.岩石；【乐】摇滚乐；【食】棒糖；〈非正式〉宝石(尤指钻石)
v.摇动；震撼；使…摇晃；使…摇动"
repeating,"adj.反复的；循环的；连发的
v.“repeat”的现在分词"
quartet,n.四重奏乐团；四重唱组合；四重奏（曲）；四重唱（曲）
mean,"adj.吝啬的；小气的；不善良；刻薄
n.中间；中庸；折中；平均数
v.表示…的意思；意思是；本意是；打算"
em,"abbr.(=electron microscope)电子显微镜
n.【印】全身；字母 M；欧美文字排版的字行长度单位
pron.〈口〉同“them”"
harm,"n.伤害；损害
v.伤害；损害"
everyone,pron.人人；所有人；每人
doing,"v.做；去做
n.所作所为；所做的事；发生的事"
house,"n.房子；房屋；住宅；舍
v.安置；收藏；给（某人）提供住处；是（某物）的贮藏处（或安置处）"
hard,"adv.努力地；艰难地；费力地；猛烈地
adj.坚固的；坚硬的；结实的；难做的
n.〈英〉硬海滩；〈英俚〉(囚犯的)强迫苦役"
yeah,"int.是的；对
adv.同“yes”"
society,n.学会；协会；社团；交往
unlock,v.打开；开启；开锁；实现
